DATE,TIME
2012-01-02,21:11:30
2012-01-03,14:18:56
2012-01-06,2:47:51
2012-01-06,6:50:10
2012-01-06,16:58:54
2012-01-08,1:59:54
2012-01-08,9:20:00
2012-01-15,5:50:39
2012-01-18,13:31:42
2012-01-28,0:29:04
2012-02-01,19:05:06
2012-02-04,12:06:07
2012-02-08,0:30:48
2012-02-11,9:46:47
2012-02-14,10:09:28
2012-02-14,13:05:29
2012-02-14,19:35:56
2012-02-16,15:21:32
2012-02-20,19:37:26
2012-02-26,11:31:20
2012-02-28,20:15:33
2012-02-29,1:27:29
2012-02-29,5:47:17
2012-02-29,14:48:05
2012-02-29,15:01:39
2012-02-29,17:35:56
2012-03-11,8:42:24
2012-03-15,6:30:34
2012-03-15,6:31:23
2012-03-19,7:19:44
2012-03-26,18:02:15
2012-03-26,19:50:14
2012-03-27,20:30:33
2012-03-28,2:07:48
2012-03-28,10:09:53
2012-03-30,6:09:27
2012-03-31,2:15:09
2012-04-01,8:26:13
2012-04-03,15:15:37
2012-04-04,1:12:09
2012-04-04,20:59:14
2012-04-08,3:38:21
2012-04-08,5:59:43
2012-04-08,8:15:20
2012-04-12,18:53:01
2012-04-17,0:12:04
2012-04-19,11:46:04
2012-04-22,16:18:34
2012-04-23,17:37:02
2012-04-24,19:44:10
2012-04-28,15:07:28
2012-04-28,21:25:08
2012-04-28,23:24:37
2012-05-01,19:22:56
2012-05-02,23:10:10
2012-05-08,23:55:43
2012-05-09,8:18:09
2012-05-09,9:42:52
2012-05-10,6:24:38
2012-05-11,2:23:36
2012-05-11,6:19:32
2012-05-13,9:21:05
2012-05-18,10:37:12
2012-05-18,16:51:17
2012-05-20,10:21:09
2012-05-21,6:19:59
2012-05-21,10:47:07
2012-05-22,15:06:25
2012-05-24,5:45:27
2012-05-27,13:05:48
2012-05-30,5:14:01
2012-05-31,6:42:56
2012-06-02,15:55:38
2012-06-08,22:24:49
2012-06-09,15:41:53
2012-06-10,4:33:59
2012-06-10,22:45:43
2012-06-11,20:46:25
2012-06-14,3:17:16
